fid,OBJECTID,SOURCE,CONFIANCE,SUPERFICIE,CLASSE,TYPE,PHYSIONOMI,SYS_TROPHI,PARTICULAR,Enregistre,Latitude,Longitude,Type_2,Milieu,surface
314,1746567,IEQM,Bon,0.019360285390838,Marécage arborescent,Marécage,arborescent,,,Z-lisiere,45.090249999999997,-73.084270000000004,lisiere,mixte,4510.09759060387
582,24835,OCCUP_SOL_BTSL,Excellent,0.226230017935893,Marécage,Marécage,,,,,,,,,0
588,936881,IEQM,Bon,0.041096978208339,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,,,,,,0
596,1736824,IEQM,Bon,0.047292375435834,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,,,,,,0
595,1736774,IEQM,Bon,0.019881908952960,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,,,,,,5.27857804419156e-06
531,1746353,IEQM,Bon,0.048555107054271,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,,,,,,7.38666176644878e-06
59,1815,OCCUP_SOL_BTSL,Excellent,0.032540540976577,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,,,,,,0
61,4676,OCCUP_SOL_BTSL,Excellent,0.265759403817069,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,,,,,,4.65120247977215e-06
532,1746445,IEQM,Bon,0.048161809108291,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,,,,,,0
281,25400,OCCUP_SOL_BTSL,Excellent,0.924071303818513,Marécage,Marécage,,,,,,,,,1.07222721853857e-05
98,25861,OCCUP_SOL_BTSL,Excellent,0.437383444978063,Marécage,Marécage,,,,,,,,,8.80404599999055e-06
101,4722,OCCUP_SOL_BTSL,Excellent,0.703096482386935,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,,,,,,1.93422411640014e-05
298,25366,OCCUP_SOL_BTSL,Excellent,0.957914994958057,Marécage,Marécage,,,,,,,,,0
312,1746421,IEQM,Bon,0.022770218706716,Marécage arborescent,Marécage,arborescent,,,,,,,,0
300,1798,OCCUP_SOL_BTSL,Excellent,0.340525095278103,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,,,,,,0
299,4635,OCCUP_SOL_BTSL,Excellent,1.589333019481972,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,,,,,,0
222,75596,MH_DETAIL,Excellent,0.176942587242378,Eau peu profonde,Eau,,,,,,,,,0
225,75803,MH_DETAIL,Excellent,0.017800416957701,Marais,Marais,,,,,,,,,0
295,4663,OCCUP_SOL_BTSL,Excellent,0.027038512920036,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,,,,,,5.01387118522975e-07
304,65827,OCCUP_SOL_BTSL,Excellent,0.049352199921239,Marais,Marais,,,,,,,,,0
306,25421,OCCUP_SOL_BTSL,Excellent,0.031244346097111,Marécage,Marécage,,,,,,,,,0
314,1746567,IEQM,Bon,0.019360285390838,Marécage arborescent,Marécage,arborescent,,,,,,,,0
,,,,,,,,,,C-foret,45.059890000000003,-73.288010000000000,foret,foret,20717.8718053694
,,,,,,,,,,C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,61702.3689596115
,,,,,,,,,,E-foret,45.076079999999997,-73.228089999999995,foret,mixte,399.308785173343
,,,,,,,,,,E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,31258.9028168183
,,,,,,,,,,F-foret,45.086610000000000,-73.228030000000004,foret,mixte,297.089326365442
,,,,,,,,,,F-lisiere,45.085120000000003,-73.224699999999999,lisiere,mixte,81030.3027820397
,,,,,,,,,,Francine-3,45.083750000000002,-73.105000000000004,lisiere,mixte,43443.0105288454
,,,,,,,,,,G-foret,45.104979999999998,-73.201110000000000,foret,mixte,35263.1501743073
