"code","utilisation"
2630,"Hêtre à grandes feuilles / Tourbière"
2631,"Hêtre à grandes feuilles associé à des pins / Tourbière"
2632,"Hêtre à grandes feuilles associé à des résineux tolérants / Tourbière"
2633,"Hêtre à grandes feuilles associé à des résineux / Tourbière"
2634,"Mélèze laricin / Tourbière"
2635,"Mélèze laricin associé à des feuillus intolérants / Tourbière"
2636,"Mélèze laricin associé à des feuillus tolérants / Tourbière"
2637,"Mélèze laricin associé à des feuillus indéterminés / Tourbière"
2638,"Forêt mixte / Tourbière"
2639,"Noyer cendré / Tourbière"
2640,"Noyer cendré associé à des pins / Tourbière"
2641,"Noyer cendré associé à des résineux tolérants / Tourbière"
2642,"Noyer cendré associé à des résineux / Tourbière"
2643,"Ormes / Tourbière"
2644,"Ormes associés à des pins / Tourbière"
2645,"Ormes associés à des résineux tolérants / Tourbière"
2646,"Ormes associés à des résineux / Tourbière"
2647,"Ostryer de Virginie / Tourbière"
2648,"Ostryer de Virginie associé à des pins / Tourbière"
2649,"Ostryer de Virginie associé à des résineux tolérants / Tourbière"
2650,"Ostryer de Virginie associé à des résineux / Tourbière"
2651,"Pin blanc / Tourbière"
2652,"Pin blanc associé à du bouleau jaune / Tourbière"
2653,"Pin blanc associé à des érables / Tourbière"
2654,"Pin blanc associé à des feuillus intolérants / Tourbière"
2655,"Pin blanc associé à des feuillus tolérants / Tourbière"
2656,"Pin blanc associé à des feuillus indéterminés / Tourbière"
2657,"Pin rigide / Tourbière"
2658,"Peupliers / Tourbière"
2659,"Peupliers associés à des épinettes noire ou rouge / Tourbière"
